max_iter,learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,rmse,r2
400,0.05,15,20,1.0,2.135747968725116,0.8140288420159545
200,0.08,15,20,1.0,2.13785366128918,0.8136664330448828
1000,0.05,15,40,1.0,2.138300475473035,0.8135890642300585
400,0.02,15,20,5.0,2.13934749584352,0.8134022785665529
1000,0.08,15,40,0.1,2.139489423227243,0.8133872501679351
600,0.05,15,40,5.0,2.140026294854544,0.8132928166779122
1000,0.02,31,5,1.0,2.1418378225058685,0.8129945753991934
1000,0.02,31,10,0.1,2.142405505292051,0.812899004061033
600,0.02,31,40,5.0,2.1476260926402384,0.8119775056541839
1000,0.08,31,40,0.1,2.1486823355121336,0.8118136019290855
400,0.12,31,5,0.1,2.154607362357755,0.8107588191281758
1000,0.02,63,5,0.0,2.1666722231898095,0.808635122202453
400,0.02,63,20,0.0,2.1685816629134766,0.8083094148796646
200,0.12,63,10,0.1,2.176202744300793,0.8069493517161457
600,0.12,63,40,1.0,2.1776538772021325,0.8066952541073263
200,0.12,63,10,0.0,2.181714447368927,0.8059716940517373
1000,0.05,127,20,5.0,2.1884672724399157,0.8047836868536249
600,0.05,127,20,0.1,2.1981908955203338,0.8030430613121924
200,0.12,127,10,1.0,2.2087613346648047,0.801125747284475
400,0.12,127,10,5.0,2.2093344129462915,0.801039811818711
